,goldleaf-licman,"Goldleaf\ License\ Manager",1401,N
,prm-sm-np,"Prospero\ Resource\ Manager",1402,N
,prm-sm-np,"Prospero\ Resource\ Manager",1402,N
,prm-nm-np,"Prospero\ Resource\ Manager",1403,N
,prm-nm-np,"Prospero\ Resource\ Manager",1403,N
,igi-lm,"Infinite\ Graphics\ License\ Manager",1404,N
,igi-lm,"Infinite\ Graphics\ License\ Manager",1404,N
,ibm-res,"IBM\ Remote\ Execution\ Starter",1405,N
,ibm-res,"IBM\ Remote\ Execution\ Starter",1405,N
,netlabs-lm,"NetLabs\ License\ Manager",1406,N
,netlabs-lm,"NetLabs\ License\ Manager",1406,N
,dbsa-lm,"DBSA\ License\ Manager",1407,N
,dbsa-lm,"DBSA\ License\ Manager",1407,N
,sophia-lm,"Sophia\ License\ Manager",1408,N
,sophia-lm,"Sophia\ License\ Manager",1408,N
,here-lm,"Here\ License\ Manager",1409,N
,here-lm,"Here\ License\ Manager",1409,N
,hiq,"HiQ\ License\ Manager",1410,N
,hiq,"HiQ\ License\ Manager",1410,N
,af,AudioFile,1411,N
,af,AudioFile,1411,N
,innosys,InnoSys,1412,N
,innosys,InnoSys,1412,N
,innosys-acl,Innosys\-ACL,1413,N
,innosys-acl,Innosys\-ACL,1413,N
,ibm-mqseries,"IBM\ MQSeries",1414,N
,ibm-mqseries,"IBM\ MQSeries",1414,N
,dbstar,DBStar,1415,N
,dbstar,DBStar,1415,N
,novell-lu6.2,"Novell\ LU62",1416,N
,novell-lu6.2,"Novell\ LU62",1416,N
,timbuktu-srv1,"Timbuktu\ Service\ 1\ Port",1417,N
,timbuktu-srv1,"Timbuktu\ Service\ 1\ Port",1417,N
,timbuktu-srv2,"Timbuktu\ Service\ 2\ Port",1418,N
,timbuktu-srv2,"Timbuktu\ Service\ 2\ Port",1418,N
,timbuktu-srv3,"Timbuktu\ Service\ 3\ Port",1419,N
,timbuktu-srv3,"Timbuktu\ Service\ 3\ Port",1419,N
,timbuktu-srv4,"Timbuktu\ Service\ 4\ Port",1420,N
,timbuktu-srv4,"Timbuktu\ Service\ 4\ Port",1420,N
,gandalf-lm,"Gandalf\ License\ Manager",1421,N
,gandalf-lm,"Gandalf\ License\ Manager",1421,N
,autodesk-lm,"Autodesk\ License\ Manager",1422,N
,autodesk-lm,"Autodesk\ License\ Manager",1422,N
,essbase,"Essbase\ Arbor\ Software",1423,N
,essbase,"Essbase\ Arbor\ Software",1423,N
,hybrid,"Hybrid\ Encryption\ Protocol",1424,N
,hybrid,"Hybrid\ Encryption\ Protocol",1424,N
,zion-lm,"Zion\ Software\ License\ Manager",1425,N
,zion-lm,"Zion\ Software\ License\ Manager",1425,N
,sais,"Satellite\-data\ Acquisition\ System\ 1",1426,N
,sais,"Satellite\-data\ Acquisition\ System\ 1",1426,N
,mloadd,"mloadd\ monitoring\ tool",1427,N
,mloadd,"mloadd\ monitoring\ tool",1427,N
,informatik-lm,"Informatik\ License\ Manager",1428,N
,informatik-lm,"Informatik\ License\ Manager",1428,N
,nms,"Hypercom\ NMS",1429,N
,nms,"Hypercom\ NMS",1429,N
,tpdu,"Hypercom\ TPDU",1430,N
,tpdu,"Hypercom\ TPDU",1430,N
,rgtp,"Reverse\ Gossip\ Transport",1431,N
,rgtp,"Reverse\ Gossip\ Transport",1431,N
,blueberry-lm,"Blueberry\ Software\ License\ Manager",1432,N
,blueberry-lm,"Blueberry\ Software\ License\ Manager",1432,N
,ms-sql-s,Microsoft\-SQL\-Server,1433,N
,ms-sql-s,Microsoft\-SQL\-Server,1433,N
,ms-sql-m,Microsoft\-SQL\-Monitor,1434,N
,ms-sql-m,Microsoft\-SQL\-Monitor,1434,N
,ibm-cics,"IBM\ CICS",1435,N
,ibm-cics,"IBM\ CICS",1435,N
,saism,"Satellite\-data\ Acquisition\ System\ 2",1436,N
,saism,"Satellite\-data\ Acquisition\ System\ 2",1436,N
,tabula,Tabula,1437,N
,tabula,Tabula,1437,N
,eicon-server,"Eicon\ Security\ AgentServer",1438,N
,eicon-server,"Eicon\ Security\ AgentServer",1438,N
,eicon-x25,"Eicon\ X25SNA\ Gateway",1439,N
,eicon-x25,"Eicon\ X25SNA\ Gateway",1439,N
,eicon-slp,"Eicon\ Service\ Location\ Protocol",1440,N
,eicon-slp,"Eicon\ Service\ Location\ Protocol",1440,N
,cadis-1,"Cadis\ License\ Management",1441,N
,cadis-1,"Cadis\ License\ Management",1441,N
,cadis-2,"Cadis\ License\ Management",1442,N
,cadis-2,"Cadis\ License\ Management",1442,N
,ies-lm,"Integrated\ Engineering\ Software",1443,N
,ies-lm,"Integrated\ Engineering\ Software",1443,N
,marcam-lm,"Marcam\ License\ Management",1444,N
,marcam-lm,"Marcam\ License\ Management",1444,N
,proxima-lm,"Proxima\ License\ Manager",1445,N
,proxima-lm,"Proxima\ License\ Manager",1445,N
,ora-lm,"Optical\ Research\ Associates\ License\ Manager",1446,N
,ora-lm,"Optical\ Research\ Associates\ License\ Manager",1446,N
,apri-lm,"Applied\ Parallel\ Research\ LM",1447,N
,apri-lm,"Applied\ Parallel\ Research\ LM",1447,N
,oc-lm,"OpenConnect\ License\ Manager",1448,N
,oc-lm,"OpenConnect\ License\ Manager",1448,N
,peport,PEport,1449,N
,peport,PEport,1449,N
,dwf,"Tandem\ Distributed\ Workbench\ Facility",1450,N
,dwf,"Tandem\ Distributed\ Workbench\ Facility",1450,N
,infoman,"IBM\ Information\ Management",1451,N
,infoman,"IBM\ Information\ Management",1451,N
,gtegsc-lm,"GTE\ Government\ Systems\ License\ Man",1452,N
,gtegsc-lm,"GTE\ Government\ Systems\ License\ Man",1452,N
,genie-lm,"Genie\ License\ Manager",1453,N
,genie-lm,"Genie\ License\ Manager",1453,N
,interhdl_elmd,"interHDL\ License\ Manager",1454,N
,interhdl_elmd,"interHDL\ License\ Manager",1454,N
,esl-lm,"ESL\ License\ Manager",1455,N
,esl-lm,"ESL\ License\ Manager",1455,N
,dca,DCA,1456,N
,dca,DCA,1456,N
,valisys-lm,"Valisys\ License\ Manager",1457,N
,valisys-lm,"Valisys\ License\ Manager",1457,N
,nrcabq-lm,"Nichols\ Research\ Corp",1458,N
,nrcabq-lm,"Nichols\ Research\ Corp",1458,N
,proshare1,"Proshare\ Notebook\ Application",1459,N
,proshare1,"Proshare\ Notebook\ Application",1459,N
,proshare2,"Proshare\ Notebook\ Application",1460,N
,proshare2,"Proshare\ Notebook\ Application",1460,N
,ibm_wrless_lan,"IBM\ Wireless\ LAN",1461,N
,ibm_wrless_lan,"IBM\ Wireless\ LAN",1461,N
,world-lm,"World\ License\ Manager",1462,N
,world-lm,"World\ License\ Manager",1462,N
,nucleus,Nucleus,1463,N
,nucleus,Nucleus,1463,N
,msl_lmd,"MSL\ License\ Manager",1464,N
,msl_lmd,"MSL\ License\ Manager",1464,N
,pipes,"Pipes\ Platform",1465,N
,pipes,"Pipes\ Platform\ mfarlinpeerlogiccom",1465,N
,oceansoft-lm,"Ocean\ Software\ License\ Manager",1466,N
,oceansoft-lm,"Ocean\ Software\ License\ Manager",1466,N
,csdmbase,CSDMBASE,1467,N
,csdmbase,CSDMBASE,1467,N
,csdm,CSDM,1468,N
,csdm,CSDM,1468,N
,aal-lm,"Active\ Analysis\ Limited\ License\ Manager",1469,N
,aal-lm,"Active\ Analysis\ Limited\ License\ Manager",1469,N
,uaiact,"Universal\ Analytics",1470,N
,uaiact,"Universal\ Analytics",1470,N
,csdmbase,csdmbase,1471,N
,csdmbase,csdmbase,1471,N
,csdm,csdm,1472,N
,csdm,csdm,1472,N
,openmath,OpenMath,1473,N
,openmath,OpenMath,1473,N
,telefinder,Telefinder,1474,N
,telefinder,Telefinder,1474,N
,taligent-lm,"Taligent\ License\ Manager",1475,N
,taligent-lm,"Taligent\ License\ Manager",1475,N
,clvm-cfg,clvm\-cfg,1476,N
,clvm-cfg,clvm\-cfg,1476,N
,ms-sna-server,ms\-sna\-server,1477,N
,ms-sna-server,ms\-sna\-server,1477,N
,ms-sna-base,ms\-sna\-base,1478,N
,ms-sna-base,ms\-sna\-base,1478,N
,dberegister,dberegister,1479,N
,dberegister,dberegister,1479,N
,pacerforum,PacerForum,1480,N
,pacerforum,PacerForum,1480,N
,airs,AIRS,1481,N
,airs,AIRS,1481,N
,miteksys-lm,"Miteksys\ License\ Manager",1482,N
,miteksys-lm,"Miteksys\ License\ Manager",1482,N
,afs,"AFS\ License\ Manager",1483,N
,afs,"AFS\ License\ Manager",1483,N
,confluent,"Confluent\ License\ Manager",1484,N
,confluent,"Confluent\ License\ Manager",1484,N
,lansource,LANSource,1485,N
,lansource,LANSource,1485,N
,nms_topo_serv,nms_topo_serv,1486,N
,nms_topo_serv,nms_topo_serv,1486,N
,localinfosrvr,LocalInfoSrvr,1487,N
,localinfosrvr,LocalInfoSrvr,1487,N
,docstor,DocStor,1488,N
,docstor,DocStor,1488,N
,dmdocbroker,dmdocbroker,1489,N
,dmdocbroker,dmdocbroker,1489,N
,insitu-conf,insitu\-conf,1490,N
,insitu-conf,insitu\-conf,1490,N
,stone-design-1,stone\-design\-1,1492,N
,stone-design-1,stone\-design\-1,1492,N
,netmap_lm,netmap_lm,1493,N
,netmap_lm,netmap_lm,1493,N
,ica,ica,1494,N
,ica,ica,1494,N
,cvc,cvc,1495,N
,cvc,cvc,1495,N
,liberty-lm,liberty\-lm,1496,N
,liberty-lm,liberty\-lm,1496,N
,rfx-lm,rfx\-lm,1497,N
,rfx-lm,rfx\-lm,1497,N
,sybase-sqlany,"Sybase\ SQL\ Any",1498,N
,sybase-sqlany,"Sybase\ SQL\ Any",1498,N
,fhc,"Federico\ Heinz\ Consultora",1499,N
,fhc,"Federico\ Heinz\ Consultora",1499,N
,vlsi-lm,"VLSI\ License\ Manager",1500,N
,vlsi-lm,"VLSI\ License\ Manager",1500,N
,saiscm,"Satellite\-data\ Acquisition\ System\ 3",1501,N
,saiscm,"Satellite\-data\ Acquisition\ System\ 3",1501,N
,shivadiscovery,Shiva,1502,N
,shivadiscovery,Shiva,1502,N
,imtc-mcs,Databeam,1503,N
,imtc-mcs,Databeam,1503,N
,evb-elm,"EVB\ Software\ Engineering\ License\ Manager",1504,N
,evb-elm,"EVB\ Software\ Engineering\ License\ Manager",1504,N
,funkproxy,"Funk\ Software\ Inc",1505,N
,funkproxy,"Funk\ Software\ Inc",1505,N
,utcd,"Universal\ Time\ daemon\ utcd",1506,N
,utcd,"Universal\ Time\ daemon\ utcd",1506,N
,symplex,symplex,1507,N
,symplex,symplex,1507,N
,diagmond,diagmond,1508,N
,diagmond,diagmond,1508,N
,robcad-lm,"Robcad\ Ltd\ License\ Manager",1509,N
,robcad-lm,"Robcad\ Ltd\ License\ Manager",1509,N
,mvx-lm,"Midland\ Valley\ Exploration\ Ltd\ Lic\ Man",1510,N
,mvx-lm,"Midland\ Valley\ Exploration\ Ltd\ Lic\ Man",1510,N
,3l-l1,3l\-l1,1511,N
,3l-l1,3l\-l1,1511,N
,wins,"Microsofts\ Windows\ Internet\ Name\ Service",1512,N
,wins,"Microsofts\ Windows\ Internet\ Name\ Service",1512,N
,fujitsu-dtc,"Fujitsu\ Systems\ Business\ of\ America\ Inc",1513,N
,fujitsu-dtc,"Fujitsu\ Systems\ Business\ of\ America\ Inc",1513,N
,fujitsu-dtcns,"Fujitsu\ Systems\ Business\ of\ America\ Inc",1514,N
,fujitsu-dtcns,"Fujitsu\ Systems\ Business\ of\ America\ Inc",1514,N
,ifor-protocol,ifor\-protocol,1515,N
,ifor-protocol,ifor\-protocol,1515,N
,vpad,"Virtual\ Places\ Audio\ data",1516,N
,vpad,"Virtual\ Places\ Audio\ data",1516,N
,vpac,"Virtual\ Places\ Audio\ control",1517,N
,vpac,"Virtual\ Places\ Audio\ control",1517,N
,vpvd,"Virtual\ Places\ Video\ data",1518,N
,vpvd,"Virtual\ Places\ Video\ data",1518,N
,vpvc,"Virtual\ Places\ Video\ control",1519,N
,vpvc,"Virtual\ Places\ Video\ control",1519,N
,atm-zip-office,"atm\ zip\ office",1520,N
,atm-zip-office,"atm\ zip\ office",1520,N
,ncube-lm,"nCube\ License\ Manager",1521,N
,ncube-lm,"nCube\ License\ Manager",1521,N
,ricardo-lm,"Ricardo\ North\ America\ License\ Manager",1522,N
,ricardo-lm,"Ricardo\ North\ America\ License\ Manager",1522,N
,cichild-lm,cichild,1523,N
,cichild-lm,cichild,1523,N
,ingreslock,ingres,1524,N
,ingreslock,ingres,1524,N
,orasrv,oracle,1525,N
,orasrv,oracle,1525,N
,prospero-np,"Prospero\ Directory\ Service\ non\-priv",1525,N
,prospero-np,"Prospero\ Directory\ Service\ non\-priv",1525,N
,pdap-np,"Prospero\ Data\ Access\ Prot\ non\-priv",1526,N
,pdap-np,"Prospero\ Data\ Access\ Prot\ non\-priv",1526,N
,tlisrv,oracle,1527,N
,tlisrv,oracle,1527,N
,coauthor,oracle,1529,N
,coauthor,oracle,1529,N
,rap-service,rap\-service,1530,N
,rap-service,rap\-service,1530,N
,rap-listen,rap\-listen,1531,N
,rap-listen,rap\-listen,1531,N
,miroconnect,miroconnect,1532,N
,miroconnect,miroconnect,1532,N
,virtual-places,"Virtual\ Places\ Software",1533,N
,virtual-places,"Virtual\ Places\ Software",1533,N
,micromuse-lm,micromuse\-lm,1534,N
,micromuse-lm,micromuse\-lm,1534,N
,ampr-info,ampr\-info,1535,N
,ampr-info,ampr\-info,1535,N
,ampr-inter,ampr\-inter,1536,N
,ampr-inter,ampr\-inter,1536,N
,sdsc-lm,isi\-lm,1537,N
,sdsc-lm,isi\-lm,1537,N
,3ds-lm,3ds\-lm,1538,N
,3ds-lm,3ds\-lm,1538,N
,intellistor-lm,"Intellistor\ License\ Manager",1539,N
,intellistor-lm,"Intellistor\ License\ Manager",1539,N
,rds,rds,1540,N
,rds,rds,1540,N
,rds2,rds2,1541,N
,rds2,rds2,1541,N
,gridgen-elmd,gridgen\-elmd,1542,N
,gridgen-elmd,gridgen\-elmd,1542,N
,simba-cs,simba\-cs,1543,N
,simba-cs,simba\-cs,1543,N
,aspeclmd,aspeclmd,1544,N
,aspeclmd,aspeclmd,1544,N
,vistium-share,vistium\-share,1545,N
,vistium-share,vistium\-share,1545,N
,abbaccuray,abbaccuray,1546,N
,abbaccuray,abbaccuray,1546,N
,laplink,laplink,1547,N
,laplink,laplink,1547,N
,axon-lm,"Axon\ License\ Manager",1548,N
,axon-lm,"Axon\ License\ Manager",1548,N
,shivahose,"Shiva\ Hose",1549,N
,shivasound,"Shiva\ Sound",1549,N
,3m-image-lm,"Image\ Storage\ license\ manager\ 3M\ Company",1550,N
,3m-image-lm,"Image\ Storage\ license\ manager\ 3M\ Company",1550,N
,hecmtl-db,HECMTL\-DB,1551,N
,hecmtl-db,HECMTL\-DB,1551,N
,pciarray,pciarray,1552,N
,pciarray,pciarray,1552,N
,sna-cs,sna\-cs,1553,N
,sna-cs,sna\-cs,1553,N
,caci-lm,"CACI\ Products\ Company\ License\ Manager",1554,N
,caci-lm,"CACI\ Products\ Company\ License\ Manager",1554,N
,livelan,livelan,1555,N
,livelan,livelan,1555,N
,veritas_pbx,"VERITAS\ Private\ Branch\ Exchange",1556,N
,veritas_pbx,"VERITAS\ Private\ Branch\ Exchange",1556,N
,arbortext-lm,"ArborText\ License\ Manager",1557,N
,arbortext-lm,"ArborText\ License\ Manager",1557,N
,xingmpeg,xingmpeg,1558,N
,xingmpeg,xingmpeg,1558,N
,web2host,web2host,1559,N
,web2host,web2host,1559,N
,asci-val,ASCI\-RemoteSHADOW,1560,N
,asci-val,ASCI\-RemoteSHADOW,1560,N
,facilityview,facilityview,1561,N
,facilityview,facilityview,1561,N
,pconnectmgr,pconnectmgr,1562,N
,pconnectmgr,pconnectmgr,1562,N
,cadabra-lm,"Cadabra\ License\ Manager",1563,N
,cadabra-lm,"Cadabra\ License\ Manager",1563,N
,pay-per-view,Pay\-Per\-View,1564,N
,pay-per-view,Pay\-Per\-View,1564,N
,winddlb,WinDD,1565,N
,winddlb,WinDD,1565,N
,corelvideo,CORELVIDEO,1566,N
,corelvideo,CORELVIDEO,1566,N
,jlicelmd,jlicelmd,1567,N
,jlicelmd,jlicelmd,1567,N
,tsspmap,tsspmap,1568,N
,tsspmap,tsspmap,1568,N
,ets,ets,1569,N
,ets,ets,1569,N
,orbixd,orbixd,1570,N
,orbixd,orbixd,1570,N
,rdb-dbs-disp,"Oracle\ Remote\ Data\ Base",1571,N
,rdb-dbs-disp,"Oracle\ Remote\ Data\ Base",1571,N
,chip-lm,"Chipcom\ License\ Manager",1572,N
,chip-lm,"Chipcom\ License\ Manager",1572,N
,itscomm-ns,itscomm\-ns,1573,N
,itscomm-ns,itscomm\-ns,1573,N
,mvel-lm,mvel\-lm,1574,N
,mvel-lm,mvel\-lm,1574,N
,oraclenames,oraclenames,1575,N
,oraclenames,oraclenames,1575,N
,moldflow-lm,"Moldflow\ License\ Manager",1576,N
,moldflow-lm,"Moldflow\ License\ Manager",1576,N
,hypercube-lm,hypercube\-lm,1577,N
,hypercube-lm,hypercube\-lm,1577,N
,jacobus-lm,"Jacobus\ License\ Manager",1578,N
,jacobus-lm,"Jacobus\ License\ Manager",1578,N
,ioc-sea-lm,ioc\-sea\-lm,1579,N
,ioc-sea-lm,ioc\-sea\-lm,1579,N
,tn-tl-r1,tn\-tl\-r1,1580,N
,tn-tl-r2,tn\-tl\-r2,1580,N
,mil-2045-47001,MIL\-2045\-47001,1581,N
,mil-2045-47001,MIL\-2045\-47001,1581,N
,msims,MSIMS,1582,N
,msims,MSIMS,1582,N
,simbaexpress,simbaexpress,1583,N
,simbaexpress,simbaexpress,1583,N
,tn-tl-fd2,tn\-tl\-fd2,1584,N
,tn-tl-fd2,tn\-tl\-fd2,1584,N
,intv,intv,1585,N
,intv,intv,1585,N
,ibm-abtact,ibm\-abtact,1586,N
,ibm-abtact,ibm\-abtact,1586,N
,pra_elmd,pra_elmd,1587,N
,pra_elmd,pra_elmd,1587,N
,triquest-lm,triquest\-lm,1588,N
,triquest-lm,triquest\-lm,1588,N
,vqp,VQP,1589,N
,vqp,VQP,1589,N
,gemini-lm,gemini\-lm,1590,N
,gemini-lm,gemini\-lm,1590,N
,ncpm-pm,ncpm\-pm,1591,N
,ncpm-pm,ncpm\-pm,1591,N
,commonspace,commonspace,1592,N
,commonspace,commonspace,1592,N
,mainsoft-lm,mainsoft\-lm,1593,N
,mainsoft-lm,mainsoft\-lm,1593,N
,sixtrak,sixtrak,1594,N
,sixtrak,sixtrak,1594,N
,radio,radio,1595,N
,radio,radio,1595,N
,radio-sm,radio\-sm,1596,N
,radio-bc,radio\-bc,1596,N
,orbplus-iiop,orbplus\-iiop,1597,N
,orbplus-iiop,orbplus\-iiop,1597,N
,picknfs,picknfs,1598,N
,picknfs,picknfs,1598,N
,simbaservices,simbaservices,1599,N
,simbaservices,simbaservices,1599,N
,issd,issd,1600,N
,issd,issd,1600,N
,aas,aas,1601,N
,aas,aas,1601,N
,inspect,inspect,1602,N
,inspect,inspect,1602,N
,picodbc,pickodbc,1603,N
,picodbc,pickodbc,1603,N
,icabrowser,icabrowser,1604,N
,icabrowser,icabrowser,1604,N
,slp,"Salutation\ Manager\ Salutation\ Protocol",1605,N
,slp,"Salutation\ Manager\ Salutation\ Protocol",1605,N
,slm-api,"Salutation\ Manager\ SLM\-API",1606,N
,slm-api,"Salutation\ Manager\ SLM\-API",1606,N
,stt,stt,1607,N
,stt,stt,1607,N
,smart-lm,"Smart\ Corp\ License\ Manager",1608,N
,smart-lm,"Smart\ Corp\ License\ Manager",1608,N
,isysg-lm,isysg\-lm,1609,N
,isysg-lm,isysg\-lm,1609,N
,taurus-wh,taurus\-wh,1610,N
,taurus-wh,taurus\-wh,1610,N
,ill,"Inter\ Library\ Loan",1611,N
,ill,"Inter\ Library\ Loan",1611,N
,netbill-trans,"NetBill\ Transaction\ Server",1612,N
,netbill-trans,"NetBill\ Transaction\ Server",1612,N
,netbill-keyrep,"NetBill\ Key\ Repository",1613,N
,netbill-keyrep,"NetBill\ Key\ Repository",1613,N
,netbill-cred,"NetBill\ Credential\ Server",1614,N
,netbill-cred,"NetBill\ Credential\ Server",1614,N
,netbill-auth,"NetBill\ Authorization\ Server",1615,N
,netbill-auth,"NetBill\ Authorization\ Server",1615,N
,netbill-prod,"NetBill\ Product\ Server",1616,N
,netbill-prod,"NetBill\ Product\ Server",1616,N
,nimrod-agent,"Nimrod\ Inter\-Agent\ Communication",1617,N
,nimrod-agent,"Nimrod\ Inter\-Agent\ Communication",1617,N
,skytelnet,skytelnet,1618,N
,skytelnet,skytelnet,1618,N
,xs-openstorage,xs\-openstorage,1619,N
,xs-openstorage,xs\-openstorage,1619,N
,faxportwinport,faxportwinport,1620,N
,faxportwinport,faxportwinport,1620,N
,softdataphone,softdataphone,1621,N
,softdataphone,softdataphone,1621,N
,ontime,ontime,1622,N
,ontime,ontime,1622,N
,jaleosnd,jaleosnd,1623,N
,jaleosnd,jaleosnd,1623,N
,udp-sr-port,udp\-sr\-port,1624,N
,udp-sr-port,udp\-sr\-port,1624,N
,svs-omagent,svs\-omagent,1625,N
,svs-omagent,svs\-omagent,1625,N
,shockwave,Shockwave,1626,N
,shockwave,Shockwave,1626,N
,t128-gateway,"T128\ Gateway",1627,N
,t128-gateway,"T128\ Gateway",1627,N
,lontalk-norm,"LonTalk\ normal",1628,N
,lontalk-norm,"LonTalk\ normal",1628,N
,lontalk-urgnt,"LonTalk\ urgent",1629,N
,lontalk-urgnt,"LonTalk\ urgent",1629,N
,oraclenet8cman,"Oracle\ Net8\ Cman",1630,N
,oraclenet8cman,"Oracle\ Net8\ Cman",1630,N
,visitview,"Visit\ view",1631,N
,visitview,"Visit\ view",1631,N
,pammratc,PAMMRATC,1632,N
,pammratc,PAMMRATC,1632,N
,pammrpc,PAMMRPC,1633,N
,pammrpc,PAMMRPC,1633,N
,loaprobe,"Log\ On\ America\ Probe",1634,N
,loaprobe,"Log\ On\ America\ Probe",1634,N
,edb-server1,"EDB\ Server\ 1",1635,N
,edb-server1,"EDB\ Server\ 1",1635,N
,isdc,"ISP\ shared\ public\ data\ control",1636,N
,isdc,"ISP\ shared\ public\ data\ control",1636,N
,islc,"ISP\ shared\ local\ data\ control",1637,N
,islc,"ISP\ shared\ local\ data\ control",1637,N
,ismc,"ISP\ shared\ management\ control",1638,N
,ismc,"ISP\ shared\ management\ control",1638,N
,cert-initiator,cert\-initiator,1639,N
,cert-initiator,cert\-initiator,1639,N
,cert-responder,cert\-responder,1640,N
,cert-responder,cert\-responder,1640,N
,invision,InVision,1641,N
,invision,InVision,1641,N
,isis-am,isis\-am,1642,N
,isis-am,isis\-am,1642,N
,isis-ambc,isis\-ambc,1643,N
,isis-ambc,isis\-ambc,1643,N
,saiseh,"Satellite\-data\ Acquisition\ System\ 4",1644,N
,sightline,SightLine,1645,N
,sightline,SightLine,1645,N
,sa-msg-port,sa\-msg\-port,1646,N
,sa-msg-port,sa\-msg\-port,1646,N
,rsap,rsap,1647,N
,rsap,rsap,1647,N
,concurrent-lm,concurrent\-lm,1648,N
,concurrent-lm,concurrent\-lm,1648,N
,kermit,kermit,1649,N
,kermit,kermit,1649,N
,nkd,nkdn,1650,N
,nkd,nkd,1650,N
,shiva_confsrvr,shiva_confsrvr,1651,N
,shiva_confsrvr,shiva_confsrvr,1651,N
,xnmp,xnmp,1652,N
,xnmp,xnmp,1652,N
,alphatech-lm,alphatech\-lm,1653,N
,alphatech-lm,alphatech\-lm,1653,N
,stargatealerts,stargatealerts,1654,N
,stargatealerts,stargatealerts,1654,N
,dec-mbadmin,dec\-mbadmin,1655,N
,dec-mbadmin,dec\-mbadmin,1655,N
,dec-mbadmin-h,dec\-mbadmin\-h,1656,N
,dec-mbadmin-h,dec\-mbadmin\-h,1656,N
,fujitsu-mmpdc,fujitsu\-mmpdc,1657,N
,fujitsu-mmpdc,fujitsu\-mmpdc,1657,N
,sixnetudr,sixnetudr,1658,N
,sixnetudr,sixnetudr,1658,N
,sg-lm,"Silicon\ Grail\ License\ Manager",1659,N
,sg-lm,"Silicon\ Grail\ License\ Manager",1659,N
,skip-mc-gikreq,skip\-mc\-gikreq,1660,N
,skip-mc-gikreq,skip\-mc\-gikreq,1660,N
,netview-aix-1,netview\-aix\-1,1661,N
,netview-aix-1,netview\-aix\-1,1661,N
,netview-aix-2,netview\-aix\-2,1662,N
,netview-aix-2,netview\-aix\-2,1662,N
,netview-aix-3,netview\-aix\-3,1663,N
,netview-aix-3,netview\-aix\-3,1663,N
,netview-aix-4,netview\-aix\-4,1664,N
,netview-aix-4,netview\-aix\-4,1664,N
,netview-aix-5,netview\-aix\-5,1665,N
,netview-aix-5,netview\-aix\-5,1665,N
,netview-aix-6,netview\-aix\-6,1666,N
,netview-aix-6,netview\-aix\-6,1666,N
,netview-aix-7,netview\-aix\-7,1667,N
,netview-aix-7,netview\-aix\-7,1667,N
,netview-aix-8,netview\-aix\-8,1668,N
,netview-aix-8,netview\-aix\-8,1668,N
,netview-aix-9,netview\-aix\-9,1669,N
,netview-aix-9,netview\-aix\-9,1669,N
,netview-aix-10,netview\-aix\-10,1670,N
,netview-aix-10,netview\-aix\-10,1670,N
,netview-aix-11,netview\-aix\-11,1671,N
,netview-aix-11,netview\-aix\-11,1671,N
,netview-aix-12,netview\-aix\-12,1672,N
,netview-aix-12,netview\-aix\-12,1672,N
,proshare-mc-1,"Intel\ Proshare\ Multicast",1673,N
,proshare-mc-1,"Intel\ Proshare\ Multicast",1673,N
,proshare-mc-2,"Intel\ Proshare\ Multicast",1674,N
,proshare-mc-2,"Intel\ Proshare\ Multicast",1674,N
,pdp,"Pacific\ Data\ Products",1675,N
,pdp,"Pacific\ Data\ Products",1675,N
,netcomm1,netcomm1,1676,N
,netcomm2,netcomm2,1676,N
,groupwise,groupwise,1677,N
,groupwise,groupwise,1677,N
,prolink,prolink,1678,N
,prolink,prolink,1678,N
,darcorp-lm,darcorp\-lm,1679,N
,darcorp-lm,darcorp\-lm,1679,N
,microcom-sbp,microcom\-sbp,1680,N
,microcom-sbp,microcom\-sbp,1680,N
,sd-elmd,sd\-elmd,1681,N
,sd-elmd,sd\-elmd,1681,N
,lanyon-lantern,lanyon\-lantern,1682,N
,lanyon-lantern,lanyon\-lantern,1682,N
,ncpm-hip,ncpm\-hip,1683,N
,ncpm-hip,ncpm\-hip,1683,N
,snaresecure,SnareSecure,1684,N
,snaresecure,SnareSecure,1684,N
,n2nremote,n2nremote,1685,N
,n2nremote,n2nremote,1685,N
,cvmon,cvmon,1686,N
,cvmon,cvmon,1686,N
,nsjtp-ctrl,nsjtp\-ctrl,1687,N
,nsjtp-ctrl,nsjtp\-ctrl,1687,N
,nsjtp-data,nsjtp\-data,1688,N
,nsjtp-data,nsjtp\-data,1688,N
,firefox,firefox,1689,N
,firefox,firefox,1689,N
,ng-umds,ng\-umds,1690,N
,ng-umds,ng\-umds,1690,N
,empire-empuma,empire\-empuma,1691,N
,empire-empuma,empire\-empuma,1691,N
,sstsys-lm,sstsys\-lm,1692,N
,sstsys-lm,sstsys\-lm,1692,N
,rrirtr,rrirtr,1693,N
,rrirtr,rrirtr,1693,N
,rrimwm,rrimwm,1694,N
,rrimwm,rrimwm,1694,N
,rrilwm,rrilwm,1695,N
,rrilwm,rrilwm,1695,N
,rrifmm,rrifmm,1696,N
,rrifmm,rrifmm,1696,N
,rrisat,rrisat,1697,N
,rrisat,rrisat,1697,N
,rsvp-encap-1,RSVP\-ENCAPSULATION\-1,1698,N
,rsvp-encap-1,RSVP\-ENCAPSULATION\-1,1698,N
,rsvp-encap-2,RSVP\-ENCAPSULATION\-2,1699,N
