,xfer,"XFER\ Utility",82,N
,xfer,"XFER\ Utility",82,N
,mit-ml-dev,"MIT\ ML\ Device",83,N
,mit-ml-dev,"MIT\ ML\ Device",83,N
,ctf,"Common\ Trace\ Facility",84,N
,ctf,"Common\ Trace\ Facility",84,N
,mit-ml-dev,"MIT\ ML\ Device",85,N
,mit-ml-dev,"MIT\ ML\ Device",85,N
,mfcobol,"Micro\ Focus\ Cobol",86,N
,mfcobol,"Micro\ Focus\ Cobol",86,N
,kerberos,Kerberos,88,N
,kerberos,Kerberos,88,N
,su-mit-tg,"SUMIT\ Telnet\ Gateway",89,N
,su-mit-tg,"SUMIT\ Telnet\ Gateway",89,N
,dnsix,"DNSIX\ Securit\ Attribute\ Token\ Map",90,N
,dnsix,"DNSIX\ Securit\ Attribute\ Token\ Map",90,N
,mit-dov,"MIT\ Dover\ Spooler",91,N
,mit-dov,"MIT\ Dover\ Spooler",91,N
,npp,"Network\ Printing\ Protocol",92,N
,npp,"Network\ Printing\ Protocol",92,N
,dcp,"Device\ Control\ Protocol",93,N
,dcp,"Device\ Control\ Protocol",93,N
,objcall,"Tivoli\ Object\ Dispatcher",94,N
,objcall,"Tivoli\ Object\ Dispatcher",94,N
,supdup,SUPDUP,95,N
,supdup,SUPDUP,95,N
,dixie,"DIXIE\ Protocol\ Specification",96,N
,dixie,"DIXIE\ Protocol\ Specification",96,N
,swift-rvf,"Swift\ Remote\ Virtural\ File\ Protocol",97,N
,swift-rvf,"Swift\ Remote\ Virtural\ File\ Protocol",97,N
,tacnews,"TAC\ News",98,N
,tacnews,"TAC\ News",98,N
,metagram,"Metagram\ Relay",99,N
,metagram,"Metagram\ Relay",99,N
,newacct,"unauthorized\ use",100,N
,hostname,"NIC\ Host\ Name\ Server",101,N
,hostname,"NIC\ Host\ Name\ Server",101,N
,iso-tsap,"ISO\-TSAP\ Class\ 0",102,N
,iso-tsap,"ISO\-TSAP\ Class\ 0",102,N
,gppitnp,"Genesis\ Point\-to\-Point\ Trans\ Net",103,N
,gppitnp,"Genesis\ Point\-to\-Point\ Trans\ Net",103,N
,acr-nema,"ACR\-NEMA\ Digital\ Imag\ \ Comm\ 300",104,N
