,88,EIGRP,"EIGRP\ CISCOGXS",N
,89,OSPFIGP,"OSPFIGP\ RFC1583JTM4",N
,90,Sprite-RPC,"Sprite\ RPC\ Protocol\ SPRITEBXW",N
,91,LARP,"Locus\ Address\ Resolution\ Protocol\ BXH",N
,92,MTP,"Multicast\ Transport\ Protocol\ SXA",N
,93,AX.25,"AX25\ Frames\ BK29",N
,94,IPIP,"IP\-within\-IP\ Encapsulation\ Protocol\ JI6",N
,95,MICP,"Mobile\ Internetworking\ Control\ Pro\ JI6",N
,96,SCC-SP,"Semaphore\ Communications\ Sec\ Pro\ HXH",N
,97,ETHERIP,"Ethernet\-within\-IP\ Encapsulation\ RFC3378",N
,98,ENCAP,"Encapsulation\ Header\ RFC1241RXB3",N
,99,any,"private\ encryption\ scheme\ IANA",N
,100,GMTP,"GMTP\ RXB5",N
,101,IFMP,"Ipsilon\ Flow\ Management\ Protocol\ Hinden",N
,102,PNNI,"PNNI\ over\ IP\ Callon",N
,103,PIM,"Protocol\ Independent\ Multicast\ Farinacci",N
,104,ARIS,"ARIS\ Feldman",N
,105,SCPS,"SCPS\ Durst",N
,106,QNX,"QNX\ Hunter",N
,107,A/N,"Active\ Networks\ Braden",N
,108,IPComp,"IP\ Payload\ Compression\ Protocol\ RFC2393",N
,109,SNP,"Sitara\ Networks\ Protocol\ Sridhar",N
,110,Compaq-Peer,"Compaq\ Peer\ Protocol\ Volpe",N
,111,IPX-in-IP,"IPX\ in\ IP\ Lee",N
,112,VRRP,"Virtual\ Router\ Redundancy\ Protocol\ RFC3768",N
,113,PGM,"PGM\ Reliable\ Transport\ Protocol\ Speakman",N
,114,any,"0\-hop\ protocol\ IANA",N
,115,L2TP,"Layer\ Two\ Tunneling\ Protocol\ Aboba",N
,116,DDX,"D\-II\ Data\ Exchange\ DDX\ Worley",N
,117,IATP,"Interactive\ Agent\ Transfer\ Protocol\ Murphy",N
,118,STP,"Schedule\ Transfer\ Protocol\ JMP",N
,119,SRP,"SpectraLink\ Radio\ Protocol\ Hamilton",N
,120,UTI,"UTI\ Lothberg",N
,121,SMP,"Simple\ Message\ Protocol\ Ekblad",N
,122,SM,"SM\ Crowcroft",N
,123,PTP,"Performance\ Transparency\ Protocol\ Welzl",N
,124,ISIS,"over\ IPv4\ Przygienda",N
,125,FIRE,Partridge,N
,126,CRTP,"Combat\ Radio\ Transport\ Protocol\ Sautter",N
,127,CRUDP,"Combat\ Radio\ User\ Datagram\ Sautter",N
,128,SSCOPMCE,Waber,N
,129,IPLT,Hollbach,N
,130,SPS,"Secure\ Packet\ Shield\ McIntosh",N
,131,PIPE,"Private\ IP\ Encapsulation\ within\ IP\ Petri",N
,132,SCTP,"Stream\ Control\ Transmission\ Protocol\ Stewart",N
,133,FC,"Fibre\ Channel\ Rajagopal",N
,134,RSVP-E2E-IGNORE,RFC3175,N
,135,Mobility,"Header\ RFC3775",N
,136,UDPLite,RFC3828,N
,137,MPLS-in-IP,RFC4023,N
,138,manet,"MANET\ Protocols\ RFC5498",N
,139,HIP,"Host\ Identity\ Protocol\ RFC5201",N
,140,Shim6,"Shim6\ Protocol\ RFC5533",N
,141-252,Unassigned,IANA,N
,253,Use,"for\ experimentation\ and\ testing\ RFC3692",N
,254,Use,"for\ experimentation\ and\ testing\ RFC3692",N
,255,Reserved,IANA,N
